#OTU_ID	KEGG_Description	KEGG_Pathways
K03961	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5 (NDUFB5)	Metabolism;Energy metabolism;Oxidative phosphorylation|Human diseases;Neurodegenerative diseases;Alzheimer's disease|Human diseases;Neurodegenerative diseases;Parkinson's disease|Human diseases;Neurodegenerative diseases;Huntington's disease|Human diseases;Endocrine and metabolic diseases;Non-alcoholic fatty liver disease (NAFLD)
K03962	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6 (NDUFB6)	Metabolism;Energy metabolism;Oxidative phosphorylation|Human diseases;Neurodegenerative diseases;Alzheimer's disease|Human diseases;Neurodegenerative diseases;Parkinson's disease|Human diseases;Neurodegenerative diseases;Huntington's disease|Human diseases;Endocrine and metabolic diseases;Non-alcoholic fatty liver disease (NAFLD)
K03963	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7 (NDUFB7)	Metabolism;Energy metabolism;Oxidative phosphorylation|Human diseases;Neurodegenerative diseases;Alzheimer's disease|Human diseases;Neurodegenerative diseases;Parkinson's disease|Human diseases;Neurodegenerative diseases;Huntington's disease|Human diseases;Endocrine and metabolic diseases;Non-alcoholic fatty liver disease (NAFLD)
K03964	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8 (NDUFB8)	Metabolism;Energy metabolism;Oxidative phosphorylation|Human diseases;Neurodegenerative diseases;Alzheimer's disease|Human diseases;Neurodegenerative diseases;Parkinson's disease|Human diseases;Neurodegenerative diseases;Huntington's disease|Human diseases;Endocrine and metabolic diseases;Non-alcoholic fatty liver disease (NAFLD)
K03965	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9 (NDUFB9)	Metabolism;Energy metabolism;Oxidative phosphorylation|Human diseases;Neurodegenerative diseases;Alzheimer's disease|Human diseases;Neurodegenerative diseases;Parkinson's disease|Human diseases;Neurodegenerative diseases;Huntington's disease|Human diseases;Endocrine and metabolic diseases;Non-alcoholic fatty liver disease (NAFLD)
K03966	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10 (NDUFB10)	Metabolism;Energy metabolism;Oxidative phosphorylation|Human diseases;Neurodegenerative diseases;Alzheimer's disease|Human diseases;Neurodegenerative diseases;Parkinson's disease|Human diseases;Neurodegenerative diseases;Huntington's disease|Human diseases;Endocrine and metabolic diseases;Non-alcoholic fatty liver disease (NAFLD)
K03967	NADH dehydrogenase (ubiquinone) 1 subunit C1 (NDUFC1)	Metabolism;Energy metabolism;Oxidative phosphorylation|Human diseases;Neurodegenerative diseases;Alzheimer's disease|Human diseases;Neurodegenerative diseases;Parkinson's disease|Human diseases;Neurodegenerative diseases;Huntington's disease|Human diseases;Endocrine and metabolic diseases;Non-alcoholic fatty liver disease (NAFLD)
K03968	NADH dehydrogenase (ubiquinone) 1 subunit C2 (NDUFC2)	Metabolism;Energy metabolism;Oxidative phosphorylation|Human diseases;Neurodegenerative diseases;Alzheimer's disease|Human diseases;Neurodegenerative diseases;Parkinson's disease|Human diseases;Neurodegenerative diseases;Huntington's disease|Human diseases;Endocrine and metabolic diseases;Non-alcoholic fatty liver disease (NAFLD)
K03969	phage shock protein A (pspA)	None
K03970	phage shock protein B (pspB)	None
K03971	phage shock protein D (pspD)	None
K03972	phage shock protein E (pspE)	None
K03973	phage shock protein C (pspC)	None
K03974	psp operon transcriptional activator (pspF)	None
K03975	membrane-associated protein (dedA)	None
K03976	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-] (ybaK, ebsC)	None
K03977	GTPase (engA, der)	None
K03978	GTP-binding protein (engB)	None
K03979	GTPase [EC:3.6.5.-] (obgE, cgtA)	None
K03980	putative peptidoglycan lipid II flippase (murJ, mviN)	Metabolism;Glycan biosynthesis and metabolism;Peptidoglycan biosynthesis
K03981	thiol:disulfide interchange protein DsbC [EC:5.3.4.1] (dsbC)	None
K03982	plasminogen activator inhibitor-1 (SERPINE1, PAI1)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Endocrine and metabolic diseases;AGE-RAGE signaling pathway in diabetic complications|Human diseases;Infectious diseases_Parasitic;Chagas disease (American trypanosomiasis)|Cellular processes;Cell growth and death;p53 signaling pathway|Environmental information processing;Signal transduction;Hippo signaling pathway|Environmental information processing;Signal transduction;HIF-1 signaling pathway
K03983	alpha-2-antiplasmin (SERPINF2, AAP)	Organismal Systems;Immune system;Complement and coagulation cascades
K03984	alpha-1-antitrypsin (SERPINA1, AAT)	Organismal Systems;Immune system;Complement and coagulation cascades
K03985	plasminogen activator, urokinase receptor (PLAUR)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Cancers_overview;Proteoglycans in cancer
K03986	complement C1q subcomponent subunit A (C1QA)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases|Human diseases;Infectious diseases_Parasitic;Chagas disease (American trypanosomiasis)|Human diseases;Infectious diseases_Bacterial;Pertussis|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection
K03987	complement C1q subcomponent subunit B (C1QB)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases|Human diseases;Infectious diseases_Parasitic;Chagas disease (American trypanosomiasis)|Human diseases;Infectious diseases_Bacterial;Pertussis|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection
K03988	complement C1q subcomponent subunit C (C1QG)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases|Human diseases;Infectious diseases_Parasitic;Chagas disease (American trypanosomiasis)|Human diseases;Infectious diseases_Bacterial;Pertussis|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection
K03989	complement component 4 (C4)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Infectious diseases_Bacterial;Pertussis|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection
K03990	complement component 3 (C3)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Cancers_overview;Viral carcinogenesis|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Infectious diseases_Parasitic;Leishmaniasis|Human diseases;Infectious diseases_Parasitic;Chagas disease (American trypanosomiasis)|Human diseases;Infectious diseases_Viral;Herpes simplex infection|Human diseases;Infectious diseases_Bacterial;Pertussis|Human diseases;Infectious diseases_Bacterial;Legionellosis|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection|Human diseases;Infectious diseases_Bacterial;Tuberculosis|Cellular processes;Transport and catabolism;Phagosome
K03991	mannose-binding lectin (MBL)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection|Cellular processes;Transport and catabolism;Phagosome
K03992	mannan-binding lectin serine protease 1 [EC:3.4.21.-] (MASP1)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection
K03993	mannan-binding lectin serine protease 2 [EC:3.4.21.104] (MASP2)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection
K03994	complement component 5 (C5)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases|Human diseases;Infectious diseases_Viral;Herpes simplex infection|Human diseases;Infectious diseases_Bacterial;Pertussis|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection
K03995	complement component 6 (C6)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases
K03996	complement component 7 (C7)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases
K03997	complement component 8 subunit alpha (C8A)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases|Human diseases;Infectious diseases_Parasitic;Amoebiasis
K03998	complement component 8 subunit beta (C8B)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases|Human diseases;Infectious diseases_Parasitic;Amoebiasis
K03999	complement component 8 subunit gamma (C8G)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases|Human diseases;Infectious diseases_Parasitic;Amoebiasis
K04000	complement component 9 (C9)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Immune diseases;Systemic lupus erythematosus|Human diseases;Neurodegenerative diseases;Prion diseases|Human diseases;Infectious diseases_Parasitic;Amoebiasis
K04001	C1 inhibitor (SERPING1, C1INH)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Bacterial;Pertussis
K04002	complement component 4 binding protein, alpha (C4BPA)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Bacterial;Pertussis
K04003	complement component 4 binding protein, beta (C4BPB)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Bacterial;Pertussis
K04004	complement factor H (CFH, HF1)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection
K04005	complement receptor related protein (CRRY)	Organismal Systems;Immune system;Complement and coagulation cascades
K04006	decay accelerating factor (DAF, CD55)	Organismal Systems;Immune system;Hematopoietic cell lineage|Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Cardiovascular diseases;Viral myocarditis
K04007	membrane cofactor protein (CD46, MCP)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Viral;Measles
K04008	CD59 antigen (CD59)	Organismal Systems;Immune system;Hematopoietic cell lineage|Organismal Systems;Immune system;Complement and coagulation cascades
K04009	C3a anaphylatoxin chemotactic receptor (C3AR1)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection|Environmental information processing;Signaling molecules and interaction;Neuroactive ligand-receptor interaction
K04010	C5a anaphylatoxin chemotactic receptor (C5AR1)	Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Bacterial;Staphylococcus aureus infection|Environmental information processing;Signaling molecules and interaction;Neuroactive ligand-receptor interaction
K04011	complement component (3b/4b) receptor 1 (CR1, CD35)	Organismal Systems;Immune system;Hematopoietic cell lineage|Organismal Systems;Immune system;Complement and coagulation cascades|Human diseases;Infectious diseases_Parasitic;Malaria|Human diseases;Infectious diseases_Parasitic;Leishmaniasis|Human diseases;Infectious diseases_Bacterial;Legionellosis|Human diseases;Infectious diseases_Bacterial;Tuberculosis
K04012	complement receptor type 2 (CR2, CD21)	Organismal Systems;Immune system;Hematopoietic cell lineage|Organismal Systems;Immune system;Complement and coagulation cascades|Organismal Systems;Immune system;B cell receptor signaling pathway|Human diseases;Infectious diseases_Viral;Epstein-Barr virus infection
K04013	cytochrome c-type protein NrfB (nrfB)	None
K04014	protein NrfC (nrfC)	None
K04015	protein NrfD (nrfD)	None
K04016	cytochrome c-type biogenesis protein NrfE (nrfE)	None
K04017	formate-dependent nitrite reductase complex subunit NrfF (nrfF)	None
K04018	formate-dependent nitrite reductase complex subunit NrfG (nrfG)	None
K04019	ethanolamine utilization protein EutA (eutA)	Metabolism;Lipid metabolism;Glycerophospholipid metabolism
K04020	phosphotransacetylase (eutD)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism
K04021	aldehyde dehydrogenase (eutE)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism
K04022	alcohol dehydrogenase (eutG)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis
K04023	ethanolamine transporter (eutH)	None
K04024	ethanolamine utilization protein EutJ (eutJ)	None
K04025	ethanolamine utilization protein EutK (eutK)	None
K04026	ethanolamine utilization protein EutL (eutL)	None
K04027	ethanolamine utilization protein EutM (eutM)	None
K04028	ethanolamine utilization protein EutN (eutN)	None
K04029	ethanolamine utilization protein EutP (eutP)	None
K04030	ethanolamine utilization protein EutQ (eutQ)	None
K04031	ethanolamine utilization protein EutS (eutS)	None
K04032	ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.17] (eutT)	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism
K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator (eutR)	None
K04034	anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:4.-.-.-] (bchE)	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism
K04035	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81] (E1.14.13.81, acsF, chlE)	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism
K04036	divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-] (bchJ)	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism
K04037	light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7] (chlL)	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism
K04038	light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7] (chlN)	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism
K04039	light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7] (chlB)	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism
K04040	chlorophyll synthase [EC:2.5.1.62] (chlG, bchG)	Metabolism;Metabolism of cofactors and vitamins;Porphyrin and chlorophyll metabolism
K04041	fructose-1,6-bisphosphatase III [EC:3.1.3.11] (fbp3)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Carbohydrate metabolism;Pentose phosphate pathway|Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism|Metabolism;Energy metabolism;Carbon fixation in photosynthetic organisms|Metabolism;Energy metabolism;Methane metabolism
K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157] (glmU)	Metabolism;Carbohydrate metabolism;Amino sugar and nucleotide sugar metabolism
K04043	molecular chaperone DnaK (dnaK)	Organismal Systems;Aging;Longevity regulating pathway - worm|Human diseases;Infectious diseases_Bacterial;Tuberculosis|Genetic information processing;Folding, sorting and degradation;RNA degradation
K04044	molecular chaperone HscA (hscA)	None
K04045	molecular chaperone HscC (hscC)	None
K04046	hypothetical chaperone protein (yegD)	None
K04047	starvation-inducible DNA-binding protein (dps)	None
K04048	type III secretion protein A (yscA, sctA)	None
K04049	type III secretion protein B (yscB, sctB)	None
K04050	type III secretion protein E (yscE, sctE)	None
K04051	type III secretion protein G (yscG, sctG)	None
K04052	type III secretion protein H (yscH, sctH)	None
K04053	type III secretion protein I (yscI, sctI)	None
K04054	type III secretion protein K (yscK, sctK)	None
K04055	type III secretion protein M (yscM, sctM)	None
K04056	type III secretion protein O (yscO, sctO)	Environmental information processing;Membrane transport;Bacterial secretion system
K04057	type III secretion protein P (yscP, sctP)	Environmental information processing;Membrane transport;Bacterial secretion system
K04058	type III secretion protein W (yscW, sctW)	Environmental information processing;Membrane transport;Bacterial secretion system
K04059	type III secretion protein X (yscX, sctX)	Environmental information processing;Membrane transport;Bacterial secretion system
K04060	type III secretion protein Y (yscY, sctY)	None
K04061	flagellar biosynthesis protein (flhB2)	None
K04062	osmotically inducible lipoprotein OsmB (osmB)	None
K04063	osmotically inducible protein OsmC (osmC)	None
K04064	osmotically inducible lipoprotein OsmE (osmE)	None
K04065	hyperosmotically inducible periplasmic protein (osmY)	None
K04066	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-] (priA)	Genetic information processing;Replication and repair;Homologous recombination
K04067	primosomal replication protein N'' (priC)	Genetic information processing;Replication and repair;Homologous recombination
K04068	anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4] (nrdG)	None
K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4] (pflA, pflC, pflE)	None
K04070	putative pyruvate formate lyase activating enzyme [EC:1.97.1.4] (pflX)	None
K04071	6-pyruvoyltetrahydropterin 2'-reductase [EC:1.1.1.220] (E1.1.1.220)	Metabolism;Metabolism of cofactors and vitamins;Folate biosynthesis
K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] (adhE)	Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis|Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Carbohydrate metabolism;Butanoate metabolism|Metabolism;Lipid metabolism;Fatty acid degradation|Metabolism;Amino acid metabolism;Tyrosine metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Chloroalkane and chloroalkene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Naphthalene degradation
K04073	acetaldehyde dehydrogenase [EC:1.2.1.10] (mhpF)	Metabolism;Carbohydrate metabolism;Pyruvate metabolism|Metabolism;Carbohydrate metabolism;Butanoate metabolism|Metabolism;Amino acid metabolism;Phenylalanine metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Xylene degradation|Metabolism;Xenobiotics biodegradation and metabolism;Dioxin degradation
K04074	cell division initiation protein (divIVA)	None
K04075	tRNA(Ile)-lysidine synthase [EC:6.3.4.19] (tilS, mesJ)	None
K04076	Lon-like ATP-dependent protease [EC:3.4.21.-] (lonB)	None
K04077	chaperonin GroEL (groEL, HSPD1)	Organismal Systems;Aging;Longevity regulating pathway - worm|Human diseases;Endocrine and metabolic diseases;Type I diabetes mellitus|Human diseases;Infectious diseases_Bacterial;Legionellosis|Human diseases;Infectious diseases_Bacterial;Tuberculosis|Genetic information processing;Folding, sorting and degradation;RNA degradation
K04078	chaperonin GroES (groES, HSPE1)	None
K04079	molecular chaperone HtpG (htpG, HSP90A)	Organismal Systems;Immune system;NOD-like receptor signaling pathway|Organismal Systems;Immune system;Antigen processing and presentation|Organismal Systems;Endocrine system;Estrogen signaling pathway|Organismal Systems;Endocrine system;Progesterone-mediated oocyte maturation|Organismal Systems;Environmental adaptation;Plant-pathogen interaction|Human diseases;Cancers_overview;Pathways in cancer|Human diseases;Cancers_specific types;Prostate cancer|Genetic information processing;Folding, sorting and degradation;Protein processing in endoplasmic reticulum|Environmental information processing;Signal transduction;PI3K-Akt signaling pathway
K04080	molecular chaperone IbpA (ibpA)	None
K04081	molecular chaperone IbpB (ibpB)	None
K04082	molecular chaperone HscB (hscB, HSCB, HSC20)	None
K04083	molecular chaperone Hsp33 (hslO)	None
K04084	thiol:disulfide interchange protein DsbD [EC:1.8.1.8] (dsbD)	None
K04085	tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-] (tusA, sirA)	Genetic information processing;Folding, sorting and degradation;Sulfur relay system
K04086	ATP-dependent Clp protease ATP-binding subunit ClpL (clpL)	None
K04087	membrane protease subunit HflC [EC:3.4.-.-] (hflC)	None
K04088	membrane protease subunit HflK [EC:3.4.-.-] (hflK)	None
K04090	indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8] (E1.2.7.8)	None
K04091	alkanesulfonate monooxygenase [EC:1.14.14.5] (ssuD)	Metabolism;Energy metabolism;Sulfur metabolism
K04092	chorismate mutase [EC:5.4.99.5] (tyrA1)	Metabolism;Amino acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis
K04093	chorismate mutase [EC:5.4.99.5] (pheA1)	Metabolism;Amino acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis
K04094	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74] (trmFO, gid)	None
K04095	cell filamentation protein (fic)	None
K04096	DNA processing protein (smf)	None
K04097	prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18] (HPGDS)	Metabolism;Lipid metabolism;Arachidonic acid metabolism|Metabolism;Metabolism of other amino acids;Glutathione metabolism|Metabolism;Xenobiotics biodegradation and metabolism;Metabolism of xenobiotics by cytochrome P450|Metabolism;Xenobiotics biodegradation and metabolism;Drug metabolism - cytochrome P450|Human diseases;Cancers_overview;Chemical carcinogenesis
K04098	hydroxyquinol 1,2-dioxygenase [EC:1.13.11.37] (chqB)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Chlorocyclohexane and chlorobenzene degradation
K04099	gallate dioxygenase [EC:1.13.11.57] (desB, galA)	Metabolism;Xenobiotics biodegradation and metabolism;Aminobenzoate degradation
K04100	protocatechuate 4,5-dioxygenase, alpha chain [EC:1.13.11.8] (ligA)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Aminobenzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Polycyclic aromatic hydrocarbon degradation
K04101	protocatechuate 4,5-dioxygenase, beta chain [EC:1.13.11.8] (ligB)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Aminobenzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Polycyclic aromatic hydrocarbon degradation
K04102	4,5-dihydroxyphthalate decarboxylase [EC:4.1.1.55] (pht5)	Metabolism;Xenobiotics biodegradation and metabolism;Polycyclic aromatic hydrocarbon degradation
K04103	indolepyruvate decarboxylase [EC:4.1.1.74] (E4.1.1.74, ipdC)	Metabolism;Amino acid metabolism;Tryptophan metabolism
K04105	4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25] (hbaA)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Aminobenzoate degradation
K04107	4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.3.7.9] (hcrC, hbaB)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Aminobenzoate degradation
K04108	4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.3.7.9] (hcrA, hbaC)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Aminobenzoate degradation
K04109	4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.3.7.9] (hcrB, hbaD)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Aminobenzoate degradation
K04110	benzoate-CoA ligase [EC:6.2.1.25] (badA)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation|Metabolism;Xenobiotics biodegradation and metabolism;Aminobenzoate degradation
K04112	benzoyl-CoA reductase subunit C [EC:1.3.7.8] (bcrC, badD)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K04113	benzoyl-CoA reductase subunit B [EC:1.3.7.8] (bcrB, badE)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K04114	benzoyl-CoA reductase subunit A [EC:1.3.7.8] (bcrA, badF)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K04115	benzoyl-CoA reductase subunit D [EC:1.3.7.8] (bcrD, badG)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K04116	cyclohexanecarboxylate-CoA ligase [EC:6.2.1.-] (aliA)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K04117	cyclohexanecarboxyl-CoA dehydrogenase [EC:1.3.99.-] (aliB)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K04118	pimeloyl-CoA dehydrogenase [EC:1.3.1.62] (E1.3.1.62)	Metabolism;Xenobiotics biodegradation and metabolism;Benzoate degradation
K04119	aldo-keto reductase family 1 member C3 [EC:1.1.1.64 1.1.1.188 1.1.1.213] (AKR1C3)	Metabolism;Lipid metabolism;Steroid hormone biosynthesis|Metabolism;Lipid metabolism;Arachidonic acid metabolism|Organismal Systems;Endocrine system;Ovarian steroidogenesis
K04120	ent-copalyl diphosphate synthase [EC:5.5.1.13] (E5.5.1.13)	Metabolism;Metabolism of terpenoids and polyketides;Diterpenoid biosynthesis
K04121	ent-kaurene synthase [EC:4.2.3.19] (E4.2.3.19)	Metabolism;Metabolism of terpenoids and polyketides;Diterpenoid biosynthesis
K04122	ent-kaurene oxidase [EC:1.14.13.78] (GA3, CYP701)	Metabolism;Metabolism of terpenoids and polyketides;Diterpenoid biosynthesis
K04123	ent-kaurenoic acid hydroxylase [EC:1.14.13.79] (KAO)	Metabolism;Metabolism of terpenoids and polyketides;Diterpenoid biosynthesis
K04124	gibberellin 3-beta-dioxygenase [EC:1.14.11.15] (E1.14.11.15)	Metabolism;Metabolism of terpenoids and polyketides;Diterpenoid biosynthesis
K04125	gibberellin 2-oxidase [EC:1.14.11.13] (E1.14.11.13)	Metabolism;Metabolism of terpenoids and polyketides;Diterpenoid biosynthesis
K04126	isopenicillin-N synthase [EC:1.21.3.1] (PCBC)	Metabolism;Biosynthesis of other secondary metabolites;Penicillin and cephalosporin biosynthesis
K04127	isopenicillin-N epimerase [EC:5.1.1.17] (cefD)	Metabolism;Biosynthesis of other secondary metabolites;Penicillin and cephalosporin biosynthesis
K04128	hydroxymethyl cephem carbamoyltransferase [EC:2.1.3.7] (cmcH)	Metabolism;Biosynthesis of other secondary metabolites;Penicillin and cephalosporin biosynthesis
K04129	muscarinic acetylcholine receptor M1 (CHRM1)	Organismal Systems;Nervous system;Cholinergic synapse|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Environmental information processing;Signal transduction;Calcium signaling pathway|Environmental information processing;Signal transduction;cAMP signaling pathway|Environmental information processing;Signal transduction;PI3K-Akt signaling pathway|Environmental information processing;Signaling molecules and interaction;Neuroactive ligand-receptor interaction
K04130	muscarinic acetylcholine receptor M2 (CHRM2)	Organismal Systems;Nervous system;Cholinergic synapse|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Environmental information processing;Signal transduction;Calcium signaling pathway|Environmental information processing;Signal transduction;cAMP signaling pathway|Environmental information processing;Signal transduction;PI3K-Akt signaling pathway|Environmental information processing;Signaling molecules and interaction;Neuroactive ligand-receptor interaction
K04131	muscarinic acetylcholine receptor M3 (CHRM3)	Organismal Systems;Endocrine system;Insulin secretion|Organismal Systems;Digestive system;Salivary secretion|Organismal Systems;Digestive system;Gastric acid secretion|Organismal Systems;Digestive system;Pancreatic secretion|Organismal Systems;Nervous system;Cholinergic synapse|Organismal Systems;Sensory system;Taste transduction|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Environmental information processing;Signal transduction;Calcium signaling pathway|Environmental information processing;Signaling molecules and interaction;Neuroactive ligand-receptor interaction
K04132	muscarinic acetylcholine receptor M4 (CHRM4)	Organismal Systems;Nervous system;Cholinergic synapse|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Environmental information processing;Signaling molecules and interaction;Neuroactive ligand-receptor interaction
K04133	muscarinic acetylcholine receptor M5 (CHRM5)	Organismal Systems;Nervous system;Cholinergic synapse|Cellular processes;Cell motility;Regulation of actin cytoskeleton|Environmental information processing;Signal transduction;Calcium signaling pathway|Environmental information processing;Signaling molecules and interaction;Neuroactive ligand-receptor interaction
